player_name,team,start_date,end_date,type,season,season_start_year
Ainsley Maitland-Niles,Arsenal,2019-07-01,2019-08-02,injury-knee-injury,2019-2020,2019
Alexandre Lacazette,Arsenal,2019-07-01,2019-10-20,injury-ankle-injury,2019-2020,2019
Alexandre Lacazette,Arsenal,2019-07-28,2019-11-08,injury-ankle-sprain,2019-2020,2019
Bernd Leno,Arsenal,2020-06-21,2020-06-30,injury-ligament-stretching,2019-2020,2019
Bukayo Saka,Arsenal,2020-03-02,2020-02-15,injury-knee-injury,2019-2020,2019
Calum Chambers,Arsenal,2019-12-29,2020-06-30,injury-cruciate-ligament-tear,2019-2020,2019
Cédric Soares,Arsenal,2020-06-17,2020-06-26,injury-broken-nose-bone,2019-2020,2019
Cédric Soares,Arsenal,2020-01-21,2020-02-03,injury-knee-injury,2019-2020,2019
Cédric Soares,Arsenal,2019-09-26,2019-08-11,injury-calf-injury,2019-2020,2019
Dani Ceballos,Arsenal,2019-07-11,2019-12-31,injury-torn-muscle-bundle,2019-2020,2019
Dani Ceballos,Arsenal,2019-08-08,2019-10-08,injury-knock,2019-2020,2019
David Luiz,Arsenal,2020-01-12,2020-06-30,injury-head-injury,2019-2020,2019
Emile Smith Rowe,Arsenal,2019-09-23,2019-07-10,injury-head-injury,2019-2020,2019
Emile Smith Rowe,Arsenal,2019-08-08,2019-12-13,injury-groin-injury,2019-2020,2019
Gabriel Martinelli,Arsenal,2020-06-21,2020-06-30,injury-knee-injury,2019-2020,2019
Gabriel Martinelli,Arsenal,2020-02-20,2020-02-25,injury-knock,2019-2020,2019
Gabriel Martinelli,Arsenal,2019-12-23,2020-06-01,injury-hamstring-injury,2019-2020,2019
Granit Xhaka,Arsenal,2020-06-18,2020-06-24,injury-ankle-injury,2019-2020,2019
Granit Xhaka,Arsenal,2019-09-12,2019-12-17,injury-concussion,2019-2020,2019
Granit Xhaka,Arsenal,2019-12-08,2019-08-23,injury-back-injury,2019-2020,2019
Henrikh Mkhitaryan,Arsenal,2019-11-14,2019-11-26,injury-fitness,2019-2020,2019
Henrikh Mkhitaryan,Arsenal,2019-09-30,2019-11-14,injury-adductor-injury,2019-2020,2019
Henrikh Mkhitaryan,Arsenal,2019-07-01,2019-07-02,injury-metatarsal-fracture,2019-2020,2019
Héctor Bellerín,Arsenal,2019-07-01,2020-01-14,injury-hamstring-injury,2019-2020,2019
Héctor Bellerín,Arsenal,2019-07-01,2019-09-16,injury-cruciate-ligament-tear,2019-2020,2019
Héctor Bellerín,Arsenal,2019-07-01,2019-11-01,injury-calf-strain,2019-2020,2019
Joe Willock,Arsenal,2019-07-01,2019-09-14,injury-calf-injury,2019-2020,2019
Kieran Tierney,Arsenal,2019-09-12,2020-03-14,injury-shoulder-injury,2019-2020,2019
Kieran Tierney,Arsenal,2019-07-05,2019-09-06,injury-groin-surgery,2019-2020,2019
Konstantinos Mavropanos,Arsenal,2020-02-24,2020-06-30,injury-pelvic-injury,2019-2020,2019
Konstantinos Mavropanos,Arsenal,2019-08-08,2019-07-10,injury-groin-injury,2019-2020,2019
Lucas Torreira,Arsenal,2020-03-03,2020-03-07,injury-ankle-injury,2019-2020,2019
Lucas Torreira,Arsenal,2020-02-17,2020-02-21,injury-ill,2019-2020,2019
Mattéo Guendouzi,Arsenal,2020-06-25,2020-06-30,injury-fitness,2019-2020,2019
Mattéo Guendouzi,Arsenal,2020-02-16,2020-02-16,injury-ill,2019-2020,2019
Nacho Monreal,Arsenal,2020-03-09,2020-06-30,injury-hamstring-injury,2019-2020,2019
Nacho Monreal,Arsenal,2020-06-01,2020-01-27,injury-muscle-injury,2019-2020,2019
Nacho Monreal,Arsenal,2019-07-01,2019-11-01,injury-hamstring-injury,2019-2020,2019
Nicolas Pépé,Arsenal,2020-02-07,2020-06-07,injury-muscle-fatigue,2019-2020,2019
Nicolas Pépé,Arsenal,2019-10-12,2019-12-14,injury-knee-injury,2019-2020,2019
Pablo Marí,Arsenal,2020-06-15,2020-03-12,injury-ankle-injury,2019-2020,2019
Pierre-Emerick Aubameyang,Arsenal,2020-02-01,2020-01-13,injury-knock,2019-2020,2019
Reiss Nelson,Arsenal,2020-03-12,2020-06-30,injury-head-injury,2019-2020,2019
Reiss Nelson,Arsenal,2019-07-10,2019-11-25,injury-ankle-injury,2019-2020,2019
Reiss Nelson,Arsenal,2019-07-01,2019-11-04,injury-thigh-problems,2019-2020,2019
Rob Holding,Arsenal,2019-10-11,2019-12-31,injury-knee-injury,2019-2020,2019
Rob Holding,Arsenal,2019-07-01,2019-08-31,injury-cruciate-ligament-tear,2019-2020,2019
Shkodran Mustafi,Arsenal,2020-02-29,2020-03-15,injury-muscle-strain,2019-2020,2019
Shkodran Mustafi,Arsenal,2020-01-29,2020-01-02,injury-ankle-injury,2019-2020,2019
Shkodran Mustafi,Arsenal,2019-11-30,2019-11-30,injury-ankle-injury,2019-2020,2019
Shkodran Mustafi,Arsenal,2019-07-01,2019-11-01,injury-knock,2019-2020,2019
Sokratis,Arsenal,2020-06-19,2020-06-24,injury-muscle-strain,2019-2020,2019
Sokratis,Arsenal,2020-02-22,2020-02-22,injury-knee-injury,2019-2020,2019
Sokratis,Arsenal,2020-01-17,2020-01-22,injury-ill,2019-2020,2019
Sokratis,Arsenal,2019-12-27,2019-12-30,injury-concussion,2019-2020,2019
Sokratis,Arsenal,2019-10-23,2019-10-25,injury-rest,2019-2020,2019
Anwar El Ghazi,Aston Villa,2019-07-01,2019-07-12,injury-knee-injury,2019-2020,2019
Anwar El Ghazi,Aston Villa,2019-07-01,2019-07-12,injury-knee-injury,2019-2020,2019
Anwar El Ghazi,Aston Villa,2019-07-01,2019-09-08,injury-ankle-injury,2019-2020,2019
Danny Drinkwater,Aston Villa,2020-01-23,2020-02-15,injury-calf-injury,2019-2020,2019
Danny Drinkwater,Aston Villa,2019-07-01,2019-11-29,injury-ankle-injury,2019-2020,2019
Danny Drinkwater,Aston Villa,2019-07-01,2019-09-03,injury-unknown-injury,2019-2020,2019
Douglas Luiz,Aston Villa,2019-07-01,2019-10-05,injury-muscle-injury,2019-2020,2019
Ezri Konsa,Aston Villa,2020-02-02,2020-02-15,injury-muscle-strain,2019-2020,2019
Ezri Konsa,Aston Villa,2019-07-01,2019-09-08,injury-muscle-strain,2019-2020,2019
Frédéric Guilbert,Aston Villa,2020-02-10,2020-06-30,injury-chest-injury,2019-2020,2019
Frédéric Guilbert,Aston Villa,2020-05-19,2020-04-07,injury-knee-injury,2019-2020,2019
Frédéric Guilbert,Aston Villa,2019-07-01,2019-09-11,injury-muscle-strain,2019-2020,2019
Henri Lansbury,Aston Villa,2020-01-07,2020-04-07,injury-knock,2019-2020,2019
Jack Grealish,Aston Villa,2020-02-10,2020-03-10,injury-calf-injury,2019-2020,2019
Jack Grealish,Aston Villa,2019-10-27,2019-11-24,injury-calf-injury,2019-2020,2019
James Chester,Aston Villa,2019-08-08,2019-09-11,injury-hamstring-injury,2019-2020,2019
Jed Steer,Aston Villa,2019-11-11,2020-06-15,injury-calf-injury,2019-2020,2019
John McGinn,Aston Villa,2019-12-21,2020-05-06,injury-ankle-injury,2019-2020,2019
Jonathan Kodjia,Aston Villa,2020-05-01,2020-01-21,injury-ill,2019-2020,2019
Jonathan Kodjia,Aston Villa,2019-11-08,2019-10-20,injury-head-injury,2019-2020,2019
Keinan Davis,Aston Villa,2020-05-02,2020-02-29,injury-muscle-strain,2019-2020,2019
Keinan Davis,Aston Villa,2019-07-01,2020-01-31,injury-muscle-strain,2019-2020,2019
Kortney Hause,Aston Villa,2020-02-10,2020-06-30,injury-groin-injury,2019-2020,2019
Kortney Hause,Aston Villa,2019-11-08,2019-08-22,injury-ankle-injury,2019-2020,2019
Mahmoud Trezeguet,Aston Villa,2020-01-12,2020-06-30,injury-head-injury,2019-2020,2019
Pepe Reina,Aston Villa,2019-09-08,2019-09-18,injury-abdominal-problems,2019-2020,2019
Tom Heaton,Aston Villa,2020-01-01,2020-06-30,injury-cruciate-ligament-injury,2019-2020,2019
