Season,Team,n_matches,avg_injured_players,total_injured_players,total_injury_effect_pts_minus_xpts,has_any_injury_data,points_lost_due_to_injuries
2019-2020,Arsenal,38,6.7368421052631575,256,-4.24267908344745,True,4.24267908344745
2019-2020,Aston Villa,38,5.131578947368421,195,-3.231728208094737,True,3.231728208094737
2019-2020,Bournemouth,38,9.026315789473685,343,-5.684527053212794,True,5.684527053212794
2019-2020,Brighton,38,5.7631578947368425,219,-3.6294793721679355,True,3.6294793721679355
2019-2020,Burnley,38,5.5,209,-3.4637497204707697,True,3.4637497204707697
2019-2020,Chelsea,38,5.157894736842105,196,-3.2483011732644536,True,3.2483011732644536
2019-2020,Crystal Palace,38,6.105263157894737,232,-3.844927919374251,True,3.844927919374251
2019-2020,Everton,38,5.526315789473684,210,-3.4803226856404863,True,3.4803226856404863
2019-2020,Leicester,38,4.447368421052632,169,-2.8008311136821056,True,2.8008311136821056
2019-2020,Liverpool,38,7.394736842105263,281,-4.657003212690364,True,4.657003212690364
2019-2020,Man City,38,6.578947368421052,250,-4.14324129242915,True,4.14324129242915
2019-2020,Man United,38,5.842105263157895,222,-3.6791982676770854,True,3.6791982676770854
2019-2020,Newcastle,38,8.052631578947368,306,-5.07132734193328,True,5.07132734193328
2019-2020,Norwich,38,5.7368421052631575,218,-3.612906406998219,True,3.612906406998219
2019-2020,Sheffield Utd,38,1.5789473684210527,60,-0.994377910182996,True,0.994377910182996
2019-2020,Southampton,38,3.763157894736842,143,-2.369934019269474,True,2.369934019269474
2019-2020,Tottenham,38,5.315789473684211,202,-3.3477389642827533,True,3.3477389642827533
2019-2020,Watford,38,5.5,209,-3.4637497204707697,True,3.4637497204707697
2019-2020,West Ham,38,4.973684210526316,189,-3.1322904170764376,True,3.1322904170764376
2019-2020,Wolves,38,4.342105263157895,165,-2.734539253003239,True,2.734539253003239
2020-2021,Arsenal,38,9.578947368421053,364,-6.0325593217768425,True,6.0325593217768425
2020-2021,Aston Villa,38,5.552631578947368,211,-3.496895650810203,True,3.496895650810203
2020-2021,Brighton,38,9.552631578947368,363,-6.015986356607126,True,6.015986356607126
2020-2021,Burnley,38,6.2631578947368425,238,-3.944365710392551,True,3.944365710392551
2020-2021,Chelsea,38,5.868421052631579,223,-3.695771232846802,True,3.695771232846802
2020-2021,Crystal Palace,38,5.5,209,-3.4637497204707697,True,3.4637497204707697
2020-2021,Everton,38,8.447368421052632,321,-5.3199218194790285,True,5.3199218194790285
2020-2021,Fulham,38,6.421052631578948,244,-4.04380350141085,True,4.04380350141085
2020-2021,Leeds,38,6.894736842105263,262,-4.3421168744657495,True,4.3421168744657495
2020-2021,Leicester,38,6.342105263157895,241,-3.994084605901701,True,3.994084605901701
2020-2021,Liverpool,38,9.657894736842104,367,-6.082278217285992,True,6.082278217285992
2020-2021,Man City,38,7.7105263157894735,293,-4.855878794726964,True,4.855878794726964
2020-2021,Man United,38,5.2105263157894735,198,-3.281447103603887,True,3.281447103603887
2020-2021,Newcastle,38,6.842105263157895,260,-4.308970944126316,True,4.308970944126316
2020-2021,Sheffield Utd,38,5.526315789473684,210,-3.4803226856404863,True,3.4803226856404863
2020-2021,Southampton,38,6.368421052631579,242,-4.010657571071417,True,4.010657571071417
2020-2021,Tottenham,38,5.2894736842105265,201,-3.3311659991130367,True,3.3311659991130367
2020-2021,West Brom,38,3.5,133,-2.204204367572308,True,2.204204367572308
2020-2021,West Ham,38,3.0526315789473686,116,-1.9224639596871258,True,1.9224639596871258
2020-2021,Wolves,38,9.210526315789474,350,-5.80053780940081,True,5.80053780940081
2021-2022,Arsenal,38,5.447368421052632,207,-3.4306037901313364,True,3.4306037901313364
2021-2022,Aston Villa,38,4.2631578947368425,162,-2.684820357494089,True,2.684820357494089
2021-2022,Brentford,38,4.605263157894737,175,-2.900268904700405,True,2.900268904700405
2021-2022,Brighton,38,10.31578947368421,392,-6.496602346528907,True,6.496602346528907
2021-2022,Burnley,38,6.2894736842105265,239,-3.9609386755622675,True,3.9609386755622675
2021-2022,Chelsea,38,7.526315789473684,286,-4.739868038538948,True,4.739868038538948
2021-2022,Crystal Palace,38,2.3157894736842106,88,-1.4584209349350608,True,1.4584209349350608
2021-2022,Everton,38,6.815789473684211,259,-4.2923979789566,True,4.2923979789566
2021-2022,Leeds,38,5.947368421052632,226,-3.745490128355952,True,3.745490128355952
2021-2022,Leicester,38,5.684210526315789,216,-3.5797604766587856,True,3.5797604766587856
2021-2022,Liverpool,38,7.947368421052632,302,-5.0050354812544136,True,5.0050354812544136
