Season,Team,n_matches,avg_injured_players,total_injured_players,total_injury_effect_pts_minus_xpts,has_any_injury_data,points_lost_due_to_injuries,gbp_per_point,gbp_lost_due_to_injuries
2019-2020,Arsenal,38,6.7368421052631575,256,-4.24267908344745,True,4.24267908344745,2501307.8470824948,10612246.484079873
2019-2020,Aston Villa,38,5.131578947368421,195,-3.231728208094737,True,3.231728208094737,2501307.8470824948,8083547.126545215
2019-2020,Bournemouth,38,9.026315789473683,343,-5.684527053212794,True,5.684527053212794,2501307.8470824948,14218752.125153892
2019-2020,Brighton,38,5.7631578947368425,219,-3.629479372167936,True,3.629479372167936,2501307.8470824948,9078445.234427705
2019-2020,Burnley,38,5.5,209,-3.4637497204707697,True,3.4637497204707697,2501307.8470824948,8663904.356143333
2019-2020,Chelsea,38,5.157894736842105,196,-3.2483011732644536,True,3.2483011732644536,2501307.8470824948,8125001.214373652
2019-2020,Crystal Palace,38,6.105263157894737,232,-3.844927919374251,True,3.844927919374251,2501307.8470824948,9617348.376197385
2019-2020,Everton,38,5.526315789473684,210,-3.4803226856404863,True,3.4803226856404863,2501307.8470824948,8705358.443971772
2019-2020,Leicester,38,4.447368421052632,169,-2.8008311136821056,True,2.8008311136821056,2501307.8470824948,7005740.843005854
2019-2020,Liverpool,38,7.394736842105263,281,-4.657003212690364,True,4.657003212690364,2501307.8470824948,11648598.679790797
2019-2020,Man City,38,6.578947368421052,250,-4.14324129242915,True,4.14324129242915,2501307.8470824948,10363521.95710925
2019-2020,Man United,38,5.842105263157895,222,-3.679198267677085,True,3.679198267677085,2501307.8470824948,9202807.497913014
2019-2020,Newcastle,38,8.052631578947368,306,-5.07132734193328,True,5.07132734193328,2501307.8470824948,12684950.875501724
2019-2020,Norwich,38,5.7368421052631575,218,-3.612906406998219,True,3.612906406998219,2501307.8470824948,9036991.146599267
2019-2020,Sheffield Utd,38,1.5789473684210529,60,-0.994377910182996,True,0.994377910182996,2501307.8470824948,2487245.2697062204
2019-2020,Southampton,38,3.763157894736842,143,-2.369934019269474,True,2.369934019269474,2501307.8470824948,5927934.559466491
2019-2020,Tottenham,38,5.315789473684211,202,-3.3477389642827533,True,3.3477389642827533,2501307.8470824948,8373725.741344274
2019-2020,Watford,38,5.5,209,-3.4637497204707697,True,3.4637497204707697,2501307.8470824948,8663904.356143333
2019-2020,West Ham,38,4.973684210526316,189,-3.1322904170764376,True,3.1322904170764376,2501307.8470824948,7834822.599574594
2019-2020,Wolves,38,4.342105263157895,165,-2.734539253003239,True,2.734539253003239,2501307.8470824948,6839924.491692105
2020-2021,Arsenal,38,9.578947368421051,364,-6.0325593217768425,True,6.0325593217768425,2363249.5164410057,14256442.900090804
