Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2020-2021,1,2020-09-12,Arsenal,Fulham,False,3,0,A,3,2.084963706985059
2020-2021,1,2020-09-12,Fulham,Arsenal,True,0,3,A,0,0.6953397040557713
2020-2021,2,2020-09-12,Southampton,Crystal Palace,False,0,1,H,0,1.4954327449302476
2020-2021,2,2020-09-12,Crystal Palace,Southampton,True,1,0,H,3,1.2121435252442836
2020-2021,3,2020-09-12,Leeds,Liverpool,False,3,4,H,0,0.45809474232170744
2020-2021,3,2020-09-12,Liverpool,Leeds,True,4,3,H,3,2.3836543466944295
2020-2021,4,2020-09-12,Newcastle,West Ham,False,2,0,A,3,1.1168831168831168
2020-2021,4,2020-09-12,West Ham,Newcastle,True,0,2,A,0,1.603896103896104
2020-2021,5,2020-09-13,Leicester,West Brom,False,3,0,A,3,1.7235859124866593
2020-2021,5,2020-09-13,West Brom,Leicester,True,0,3,A,0,1.0128068303094981
2020-2021,6,2020-09-13,Everton,Tottenham,False,1,0,A,3,0.9198668434114399
2020-2021,6,2020-09-13,Tottenham,Everton,True,0,1,A,0,1.8168797902983065
2020-2021,7,2020-09-14,Chelsea,Brighton,False,3,1,A,3,1.9906575441830532
2020-2021,7,2020-09-14,Brighton,Chelsea,True,1,3,A,0,0.7898247403282678
2020-2021,8,2020-09-14,Wolves,Sheffield United,False,2,0,A,3,1.5095822802443832
2020-2021,8,2020-09-14,Sheffield United,Wolves,True,0,2,A,0,1.1838444546160125
2020-2021,9,2020-09-19,West Brom,Everton,False,2,5,H,0,0.6608996539792389
2020-2021,9,2020-09-19,Everton,West Brom,True,5,2,H,3,2.114186851211073
2020-2021,10,2020-09-19,Fulham,Leeds,False,3,4,H,0,0.7400787640109058
2020-2021,10,2020-09-19,Leeds,Fulham,True,4,3,H,3,2.0160557406846404
2020-2021,11,2020-09-19,Crystal Palace,Man United,False,3,1,A,3,0.4710801393728222
2020-2021,11,2020-09-19,Man United,Crystal Palace,True,1,3,A,0,2.3567944250871076
2020-2021,12,2020-09-19,West Ham,Arsenal,False,1,2,H,0,0.7258426966292134
2020-2021,12,2020-09-19,Arsenal,West Ham,True,2,1,H,3,2.0640449438202246
2020-2021,13,2020-09-20,Tottenham,Southampton,False,5,2,A,3,1.482421167089525
2020-2021,13,2020-09-20,Southampton,Tottenham,True,2,5,A,0,1.2312432040594417
2020-2021,14,2020-09-20,Brighton,Newcastle,False,3,0,A,3,1.295794258569147
2020-2021,14,2020-09-20,Newcastle,Brighton,True,0,3,A,0,1.3986240222777344
2020-2021,15,2020-09-20,Liverpool,Chelsea,False,2,0,A,3,1.555984555984556
2020-2021,15,2020-09-20,Chelsea,Liverpool,True,0,2,A,0,1.1806949806949807
2020-2021,16,2020-09-20,Burnley,Leicester,False,2,4,H,0,0.7554631988202173
2020-2021,16,2020-09-20,Leicester,Burnley,True,4,2,H,3,2.0071055101220003
2020-2021,17,2020-09-21,Sheffield United,Aston Villa,False,0,1,H,0,1.3377878289473681
2020-2021,17,2020-09-21,Aston Villa,Sheffield United,True,1,0,H,3,1.3569078947368418
2020-2021,18,2020-09-21,Man City,Wolves,False,3,1,A,3,2.121761658031088
2020-2021,18,2020-09-21,Wolves,Man City,True,1,3,A,0,0.6585942779905385
2020-2021,19,2020-09-26,Man United,Brighton,False,3,2,A,3,1.8995606259153626
2020-2021,19,2020-09-26,Brighton,Man United,True,2,3,A,0,0.8485315655592383
2020-2021,20,2020-09-26,Everton,Crystal Palace,False,2,1,A,3,1.6527196652719667
2020-2021,20,2020-09-26,Crystal Palace,Everton,True,1,2,A,0,1.0543933054393306
2020-2021,21,2020-09-26,Chelsea,West Brom,False,3,3,D,1,2.2862489829129373
2020-2021,21,2020-09-26,West Brom,Chelsea,True,3,3,D,1,0.5145646867371847
2020-2021,22,2020-09-26,Southampton,Burnley,False,1,0,A,3,1.5303802430419446
2020-2021,22,2020-09-26,Burnley,Southampton,True,0,1,A,0,1.1811054488435908
2020-2021,23,2020-09-27,Leeds,Sheffield United,False,1,0,A,3,1.3724725943970766
2020-2021,23,2020-09-27,Sheffield United,Leeds,True,0,1,A,0,1.3403166869671133
2020-2021,24,2020-09-27,Newcastle,Tottenham,False,1,1,D,1,0.6170212765957446
2020-2021,24,2020-09-27,Tottenham,Newcastle,True,1,1,D,1,2.172288531395952
2020-2021,25,2020-09-27,Leicester,Man City,False,5,2,A,3,0.45809474232170744
2020-2021,25,2020-09-27,Man City,Leicester,True,2,5,A,0,2.3836543466944295
2020-2021,26,2020-09-27,Wolves,West Ham,False,0,4,H,0,1.6637819922666177
2020-2021,26,2020-09-27,West Ham,Wolves,True,4,0,H,3,1.0644448536181181
2020-2021,27,2020-09-28,Aston Villa,Fulham,False,3,0,A,3,1.432459677419355
2020-2021,27,2020-09-28,Fulham,Aston Villa,True,0,3,A,0,1.275201612903226
2020-2021,28,2020-09-28,Arsenal,Liverpool,False,1,3,H,0,0.637615894039735
2020-2021,28,2020-09-28,Liverpool,Arsenal,True,3,1,H,3,2.1626490066225164
2020-2021,29,2020-10-03,Crystal Palace,Chelsea,False,0,4,H,0,0.5577439570277529
2020-2021,29,2020-10-03,Chelsea,Crystal Palace,True,4,0,H,3,2.241718889883617
2020-2021,30,2020-10-03,Brighton,Everton,False,2,4,H,0,0.8440653091175931
2020-2021,30,2020-10-03,Everton,Brighton,True,4,2,H,3,1.9035039442304167
2020-2021,31,2020-10-03,Man City,Leeds,False,1,1,D,1,2.262628934144406
2020-2021,31,2020-10-03,Leeds,Man City,True,1,1,D,1,0.5575244644274003
2020-2021,32,2020-10-03,Burnley,Newcastle,False,1,3,H,0,1.2172523961661341
2020-2021,32,2020-10-03,Newcastle,Burnley,True,3,1,H,3,1.4856230031948883
2020-2021,33,2020-10-04,West Ham,Leicester,False,3,0,A,3,0.7712031558185405
2020-2021,33,2020-10-04,Leicester,West Ham,True,0,3,A,0,2.0019723865877714
2020-2021,34,2020-10-04,West Brom,Southampton,False,0,2,H,0,0.848027842227378
2020-2021,34,2020-10-04,Southampton,West Brom,True,2,0,H,3,1.902552204176334
2020-2021,35,2020-10-04,Sheffield United,Arsenal,False,1,2,H,0,0.7118387909319899
2020-2021,35,2020-10-04,Arsenal,Sheffield United,True,2,1,H,3,2.0508816120906803
2020-2021,36,2020-10-04,Fulham,Wolves,False,0,1,H,0,0.6190476190476191
2020-2021,36,2020-10-04,Wolves,Fulham,True,1,0,H,3,2.142857142857143
2020-2021,37,2020-10-04,Tottenham,Man United,False,6,1,A,3,0.9615254809314884
2020-2021,37,2020-10-04,Man United,Tottenham,True,1,6,A,0,1.7887276409044885
2020-2021,38,2020-10-04,Liverpool,Aston Villa,False,2,7,H,0,2.3685961410512313
2020-2021,38,2020-10-04,Aston Villa,Liverpool,True,7,2,H,3,0.45841650033266806
2020-2021,39,2020-10-17,Liverpool,Everton,False,2,2,D,1,1.7859795039358382
2020-2021,39,2020-10-17,Everton,Liverpool,True,2,2,D,1,0.9875241348581614
2020-2021,40,2020-10-17,Southampton,Chelsea,False,3,3,D,1,0.637615894039735
2020-2021,40,2020-10-17,Chelsea,Southampton,True,3,3,D,1,2.1626490066225164
2020-2021,41,2020-10-17,Arsenal,Man City,False,0,1,H,0,0.6310640032613128
2020-2021,41,2020-10-17,Man City,Arsenal,True,1,0,H,3,2.1781492050550346
2020-2021,42,2020-10-17,Man United,Newcastle,False,4,1,A,3,1.935421327367636
2020-2021,42,2020-10-17,Newcastle,Man United,True,1,4,A,0,0.82938105891126
2020-2021,43,2020-10-18,Fulham,Sheffield United,False,1,1,D,1,1.0613154960981048
2020-2021,43,2020-10-18,Sheffield United,Fulham,True,1,1,D,1,1.649944258639911
