season_start_year,season,match_date,match_id,home_team,away_team,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5
2019,2019-2020,2019-08-09,2019_Liverpool_Norwich_20190809,Liverpool,Norwich,4,1,H,1.14,10.0,19.0,1.4,3.0
2019,2019-2020,2019-08-10,2019_West Ham_Man City_20190810,West Ham,Man City,0,5,A,12.0,6.5,1.22,1.44,2.75
2019,2019-2020,2019-08-10,2019_Bournemouth_Sheffield United_20190810,Bournemouth,Sheffield United,1,1,D,1.95,3.6,3.6,1.9,1.9
2019,2019-2020,2019-08-10,2019_Burnley_Southampton_20190810,Burnley,Southampton,3,0,H,2.62,3.2,2.75,2.1,1.72
2019,2019-2020,2019-08-10,2019_Crystal Palace_Everton_20190810,Crystal Palace,Everton,0,0,D,3.0,3.25,2.37,2.2,1.66
2019,2019-2020,2019-08-10,2019_Watford_Brighton_20190810,Watford,Brighton,0,3,A,1.9,3.4,4.0,2.1,1.72
2019,2019-2020,2019-08-10,2019_Tottenham_Aston Villa_20190810,Tottenham,Aston Villa,3,1,H,1.3,5.25,10.0,1.66,2.2
2019,2019-2020,2019-08-11,2019_Leicester_Wolves_20190811,Leicester,Wolves,0,0,D,2.2,3.2,3.4,2.2,1.66
2019,2019-2020,2019-08-11,2019_Newcastle_Arsenal_20190811,Newcastle,Arsenal,0,1,A,4.5,3.75,1.72,1.8,2.0
2019,2019-2020,2019-08-11,2019_Man United_Chelsea_20190811,Man United,Chelsea,4,0,H,2.1,3.3,3.5,2.0,1.8
2019,2019-2020,2019-08-17,2019_Arsenal_Burnley_20190817,Arsenal,Burnley,2,1,H,1.3,5.5,10.0,1.57,2.37
2019,2019-2020,2019-08-17,2019_Aston Villa_Bournemouth_20190817,Aston Villa,Bournemouth,1,2,A,2.3,3.4,3.1,1.8,2.0
2019,2019-2020,2019-08-17,2019_Brighton_West Ham_20190817,Brighton,West Ham,1,1,D,2.55,3.25,2.87,1.9,1.9
2019,2019-2020,2019-08-17,2019_Everton_Watford_20190817,Everton,Watford,1,0,H,1.72,3.8,4.75,1.72,2.1
2019,2019-2020,2019-08-17,2019_Norwich_Newcastle_20190817,Norwich,Newcastle,3,1,H,2.25,3.3,3.3,1.9,1.9
2019,2019-2020,2019-08-17,2019_Southampton_Liverpool_20190817,Southampton,Liverpool,1,2,A,6.5,4.75,1.44,1.66,2.2
2019,2019-2020,2019-08-17,2019_Man City_Tottenham_20190817,Man City,Tottenham,2,2,D,1.36,5.25,8.0,1.53,2.5
2019,2019-2020,2019-08-18,2019_Sheffield United_Crystal Palace_20190818,Sheffield United,Crystal Palace,1,0,H,2.55,3.1,2.9,2.3,1.61
2019,2019-2020,2019-08-18,2019_Chelsea_Leicester_20190818,Chelsea,Leicester,1,1,D,1.7,3.75,5.0,1.9,1.9
2019,2019-2020,2019-08-19,2019_Wolves_Man United_20190819,Wolves,Man United,1,1,D,3.3,3.3,2.25,2.1,1.72
2019,2019-2020,2019-08-23,2019_Aston Villa_Everton_20190823,Aston Villa,Everton,2,0,H,3.25,3.5,2.15,1.72,2.1
2019,2019-2020,2019-08-24,2019_Norwich_Chelsea_20190824,Norwich,Chelsea,2,3,A,4.33,3.75,1.8,1.53,2.5
2019,2019-2020,2019-08-24,2019_Brighton_Southampton_20190824,Brighton,Southampton,0,2,A,2.4,3.3,3.0,2.1,1.72
2019,2019-2020,2019-08-24,2019_Man United_Crystal Palace_20190824,Man United,Crystal Palace,1,2,A,1.33,5.25,9.0,1.72,2.1
2019,2019-2020,2019-08-24,2019_Sheffield United_Leicester_20190824,Sheffield United,Leicester,1,2,A,3.3,3.3,2.25,2.3,1.61
2019,2019-2020,2019-08-24,2019_Watford_West Ham_20190824,Watford,West Ham,1,3,A,2.05,3.5,3.5,1.72,2.1
2019,2019-2020,2019-08-24,2019_Liverpool_Arsenal_20190824,Liverpool,Arsenal,3,1,H,1.5,4.6,6.0,1.44,2.75
2019,2019-2020,2019-08-25,2019_Bournemouth_Man City_20190825,Bournemouth,Man City,1,3,A,15.0,7.5,1.16,1.36,3.2
2019,2019-2020,2019-08-25,2019_Tottenham_Newcastle_20190825,Tottenham,Newcastle,0,1,A,1.2,6.5,14.0,1.53,2.5
2019,2019-2020,2019-08-25,2019_Wolves_Burnley_20190825,Wolves,Burnley,1,1,D,1.85,3.4,4.5,2.3,1.61
2019,2019-2020,2019-08-31,2019_Southampton_Man United_20190831,Southampton,Man United,1,1,D,3.8,3.3,2.05,1.9,1.9
2019,2019-2020,2019-08-31,2019_Chelsea_Sheffield United_20190831,Chelsea,Sheffield United,2,2,D,1.36,4.75,9.0,1.72,2.1
2019,2019-2020,2019-08-31,2019_Crystal Palace_Aston Villa_20190831,Crystal Palace,Aston Villa,1,0,H,2.15,3.3,3.5,1.9,1.9
2019,2019-2020,2019-08-31,2019_Leicester_Bournemouth_20190831,Leicester,Bournemouth,3,1,H,1.7,4.0,4.75,1.66,2.2
2019,2019-2020,2019-08-31,2019_Man City_Brighton_20190831,Man City,Brighton,4,0,H,1.08,10.0,26.0,1.3,3.5
2019,2019-2020,2019-08-31,2019_Newcastle_Watford_20190831,Newcastle,Watford,1,1,D,2.5,3.25,2.87,2.0,1.8
2019,2019-2020,2019-08-31,2019_West Ham_Norwich_20190831,West Ham,Norwich,2,0,H,1.85,3.9,3.9,1.44,2.75
2019,2019-2020,2019-08-31,2019_Burnley_Liverpool_20190831,Burnley,Liverpool,0,3,A,9.5,5.5,1.3,1.61,2.3
2019,2019-2020,2019-09-01,2019_Everton_Wolves_20190901,Everton,Wolves,3,2,H,2.2,3.25,3.5,2.2,1.66
2019,2019-2020,2019-09-01,2019_Arsenal_Tottenham_20190901,Arsenal,Tottenham,2,2,D,2.37,3.6,2.8,1.57,2.37
2019,2019-2020,2019-09-14,2019_Liverpool_Newcastle_20190914,Liverpool,Newcastle,3,1,H,1.14,8.5,17.0,1.4,3.0
2019,2019-2020,2019-09-14,2019_Brighton_Burnley_20190914,Brighton,Burnley,1,1,D,2.15,3.3,3.5,2.1,1.72
2019,2019-2020,2019-09-14,2019_Man United_Leicester_20190914,Man United,Leicester,1,0,H,1.95,3.5,4.0,1.9,1.9
2019,2019-2020,2019-09-14,2019_Sheffield United_Southampton_20190914,Sheffield United,Southampton,0,1,A,2.45,3.2,3.0,2.1,1.72
2019,2019-2020,2019-09-14,2019_Tottenham_Crystal Palace_20190914,Tottenham,Crystal Palace,4,0,H,1.36,5.25,8.0,1.61,2.3
2019,2019-2020,2019-09-14,2019_Wolves_Chelsea_20190914,Wolves,Chelsea,2,5,A,2.9,3.3,2.5,1.9,1.9
2019,2019-2020,2019-09-14,2019_Norwich_Man City_20190914,Norwich,Man City,3,2,H,15.0,9.0,1.14,1.22,4.33
2019,2019-2020,2019-09-15,2019_Bournemouth_Everton_20190915,Bournemouth,Everton,3,1,H,2.9,3.5,2.4,1.72,2.1
2019,2019-2020,2019-09-15,2019_Watford_Arsenal_20190915,Watford,Arsenal,2,2,D,3.6,3.6,2.0,1.57,2.37
2019,2019-2020,2019-09-16,2019_Aston Villa_West Ham_20190916,Aston Villa,West Ham,0,0,D,2.62,3.5,2.6,1.61,2.3
2019,2019-2020,2019-09-20,2019_Southampton_Bournemouth_20190920,Southampton,Bournemouth,1,3,A,2.05,3.6,3.5,1.66,2.2
2019,2019-2020,2019-09-21,2019_Leicester_Tottenham_20190921,Leicester,Tottenham,2,1,H,2.87,3.5,2.37,1.8,2.0
2019,2019-2020,2019-09-21,2019_Burnley_Norwich_20190921,Burnley,Norwich,2,0,H,2.0,3.8,3.5,1.66,2.2
2019,2019-2020,2019-09-21,2019_Everton_Sheffield United_20190921,Everton,Sheffield United,0,2,A,1.61,3.75,6.0,2.0,1.8
2019,2019-2020,2019-09-21,2019_Man City_Watford_20190921,Man City,Watford,8,0,H,1.1,11.0,21.0,1.25,4.0
2019,2019-2020,2019-09-21,2019_Newcastle_Brighton_20190921,Newcastle,Brighton,0,0,D,2.5,3.2,3.0,2.3,1.61
2019,2019-2020,2019-09-22,2019_Crystal Palace_Wolves_20190922,Crystal Palace,Wolves,1,1,D,2.62,3.1,2.87,2.37,1.57
2019,2019-2020,2019-09-22,2019_West Ham_Man United_20190922,West Ham,Man United,2,0,H,3.1,3.6,2.2,1.66,2.2
2019,2019-2020,2019-09-22,2019_Arsenal_Aston Villa_20190922,Arsenal,Aston Villa,3,2,H,1.4,4.75,8.0,1.44,2.75
2019,2019-2020,2019-09-22,2019_Chelsea_Liverpool_20190922,Chelsea,Liverpool,1,2,A,3.5,3.75,2.0,1.57,2.37
2019,2019-2020,2019-09-28,2019_Sheffield United_Liverpool_20190928,Sheffield United,Liverpool,0,1,A,9.0,5.25,1.33,1.61,2.3
2019,2019-2020,2019-09-28,2019_Aston Villa_Burnley_20190928,Aston Villa,Burnley,2,2,D,2.3,3.4,3.1,1.9,1.9
2019,2019-2020,2019-09-28,2019_Bournemouth_West Ham_20190928,Bournemouth,West Ham,2,2,D,2.5,3.5,2.75,1.57,2.37
2019,2019-2020,2019-09-28,2019_Chelsea_Brighton_20190928,Chelsea,Brighton,2,0,H,1.4,4.75,8.0,1.66,2.2
