Season,Points,Money_gbp
2021-2022,22,54887072.24334601
2021-2022,23,57381939.1634981
2021-2022,24,59876806.083650194
2021-2022,25,62371673.003802285
2021-2022,26,64866539.923954375
2021-2022,27,67361406.84410647
2021-2022,28,69856273.76425856
2021-2022,29,72351140.68441065
2021-2022,30,74846007.60456274
2021-2022,31,77340874.52471483
2021-2022,32,79835741.44486693
2021-2022,33,82330608.36501902
2021-2022,34,84825475.2851711
2021-2022,35,87320342.2053232
2021-2022,36,89815209.12547529
2021-2022,37,92310076.04562739
2021-2022,38,94804942.96577947
2021-2022,39,97299809.88593157
2021-2022,40,99794676.80608365
2021-2022,41,102289543.72623575
2021-2022,42,104784410.64638785
2021-2022,43,107279277.56653993
2021-2022,44,109774144.48669203
2021-2022,45,112269011.40684411
2021-2022,46,114763878.3269962
2021-2022,47,117258745.24714829
2021-2022,48,119753612.16730039
2021-2022,49,122248479.08745249
2021-2022,50,124743346.00760457
2021-2022,51,127238212.92775667
2021-2022,52,129733079.84790875
2021-2022,53,132227946.76806085
2021-2022,54,134722813.68821293
2021-2022,55,137217680.60836503
2021-2022,56,139712547.52851713
2021-2022,57,142207414.44866922
2021-2022,58,144702281.3688213
2021-2022,59,147197148.2889734
2021-2022,60,149692015.2091255
2021-2022,61,152186882.1292776
2021-2022,62,154681749.04942966
2021-2022,63,157176615.96958175
2021-2022,64,159671482.88973385
2021-2022,65,162166349.80988595
2021-2022,66,164661216.73003805
2021-2022,67,167156083.65019011
2021-2022,68,169650950.5703422
2021-2022,69,172145817.4904943
2021-2022,70,174640684.4106464
2021-2022,71,177135551.33079848
2021-2022,72,179630418.25095057
2021-2022,73,182125285.17110267
2021-2022,74,184620152.09125477
2021-2022,75,187115019.01140687
2021-2022,76,189609885.93155894
2021-2022,77,192104752.85171103
2021-2022,78,194599619.77186313
2021-2022,79,197094486.69201523
2021-2022,80,199589353.6121673
2021-2022,81,202084220.5323194
2021-2022,82,204579087.4524715
2021-2022,83,207073954.3726236
2021-2022,84,209568821.2927757
2021-2022,85,212063688.21292776
2021-2022,86,214558555.13307986
2021-2022,87,217053422.05323195
2021-2022,88,219548288.97338405
2021-2022,89,222043155.89353615
2021-2022,90,224538022.81368822
2021-2022,91,227032889.73384032
2021-2022,92,229527756.6539924
2021-2022,93,232022623.5741445
