Season,Position,HomeTeam,MP,W,D,L,GF,GA,GD,Pts
2023-2024,1,Man City,38,28,7,3,96,34,62,91
2023-2024,2,Arsenal,38,28,5,5,91,29,62,89
2023-2024,3,Liverpool,38,24,10,4,86,41,45,82
2023-2024,4,Aston Villa,38,20,8,10,76,61,15,68
2023-2024,5,Tottenham,38,20,6,12,74,61,13,66
2023-2024,6,Chelsea,38,18,9,11,77,63,14,63
2023-2024,7,Newcastle,38,18,6,14,85,62,23,60
2023-2024,8,Man United,38,18,6,14,57,58,-1,60
2023-2024,9,West Ham,38,14,10,14,60,74,-14,52
2023-2024,10,Crystal Palace,38,13,10,15,57,58,-1,49
2023-2024,11,Brighton,38,12,12,14,55,62,-7,48
2023-2024,12,Everton,38,13,9,16,40,51,-11,48
2023-2024,13,Bournemouth,38,13,9,16,54,67,-13,48
2023-2024,14,Fulham,38,13,8,17,55,61,-6,47
2023-2024,15,Wolves,38,13,7,18,50,65,-15,46
2023-2024,16,Brentford,38,10,9,19,56,65,-9,39
2023-2024,17,Nott'm Forest,38,9,9,20,49,67,-18,36
2023-2024,18,Luton,38,6,8,24,52,85,-33,26
2023-2024,19,Burnley,38,5,9,24,41,78,-37,24
2023-2024,20,Sheffield United,38,3,7,28,35,104,-69,16
