Season,Position,HomeTeam,MP,W,D,L,GF,GA,GD,Pts
2019-2020,1,Liverpool,38,32,3,3,85,33,52,99
2019-2020,2,Man City,38,26,3,9,102,35,67,81
2019-2020,3,Man United,38,18,12,8,66,36,30,66
2019-2020,4,Chelsea,38,20,6,12,69,54,15,66
2019-2020,5,Leicester,38,18,8,12,67,41,26,62
2019-2020,6,Tottenham,38,16,11,11,61,47,14,59
2019-2020,7,Wolves,38,15,14,9,51,40,11,59
2019-2020,8,Arsenal,38,14,14,10,56,48,8,56
2019-2020,9,Sheffield United,38,14,12,12,39,39,0,54
2019-2020,10,Burnley,38,15,9,14,43,50,-7,54
2019-2020,11,Southampton,38,15,7,16,51,60,-9,52
2019-2020,12,Everton,38,13,10,15,44,56,-12,49
2019-2020,13,Newcastle,38,11,11,16,38,58,-20,44
2019-2020,14,Crystal Palace,38,11,10,17,31,50,-19,43
2019-2020,15,Brighton,38,9,14,15,39,54,-15,41
2019-2020,16,West Ham,38,10,9,19,49,62,-13,39
2019-2020,17,Aston Villa,38,9,8,21,41,67,-26,35
2019-2020,18,Bournemouth,38,9,7,22,40,65,-25,34
2019-2020,19,Watford,38,8,10,20,36,64,-28,34
2019-2020,20,Norwich,38,5,6,27,26,75,-49,21
2020-2021,1,Man City,38,27,5,6,83,32,51,86
2020-2021,2,Man United,38,21,11,6,73,44,29,74
2020-2021,3,Liverpool,38,20,9,9,68,42,26,69
2020-2021,4,Chelsea,38,19,10,9,58,36,22,67
2020-2021,5,Leicester,38,20,6,12,68,50,18,66
2020-2021,6,West Ham,38,19,8,11,62,47,15,65
2020-2021,7,Tottenham,38,18,8,12,68,45,23,62
2020-2021,8,Arsenal,38,18,7,13,55,39,16,61
2020-2021,9,Leeds,38,18,5,15,62,54,8,59
2020-2021,10,Everton,38,17,8,13,47,48,-1,59
2020-2021,11,Aston Villa,38,16,7,15,55,46,9,55
2020-2021,12,Newcastle,38,12,9,17,46,62,-16,45
2020-2021,13,Wolves,38,12,9,17,36,52,-16,45
2020-2021,14,Crystal Palace,38,12,8,18,41,66,-25,44
2020-2021,15,Southampton,38,12,7,19,47,68,-21,43
2020-2021,16,Brighton,38,9,14,15,40,46,-6,41
2020-2021,17,Burnley,38,10,9,19,33,55,-22,39
2020-2021,18,Fulham,38,5,13,20,27,53,-26,28
2020-2021,19,West Brom,38,5,11,22,35,76,-41,26
2020-2021,20,Sheffield United,38,7,2,29,20,63,-43,23
2021-2022,1,Man City,38,29,6,3,99,26,73,93
2021-2022,2,Liverpool,38,28,8,2,94,26,68,92
2021-2022,3,Chelsea,38,21,11,6,76,33,43,74
2021-2022,4,Tottenham,38,22,5,11,69,40,29,71
2021-2022,5,Arsenal,38,22,3,13,61,48,13,69
2021-2022,6,Man United,38,16,10,12,57,57,0,58
2021-2022,7,West Ham,38,16,8,14,60,51,9,56
2021-2022,8,Leicester,38,14,10,14,62,59,3,52
2021-2022,9,Brighton,38,12,15,11,42,44,-2,51
2021-2022,10,Wolves,38,15,6,17,38,43,-5,51
2021-2022,11,Newcastle,38,13,10,15,44,62,-18,49
2021-2022,12,Crystal Palace,38,11,15,12,50,46,4,48
2021-2022,13,Brentford,38,13,7,18,48,56,-8,46
2021-2022,14,Aston Villa,38,13,6,19,52,54,-2,45
2021-2022,15,Southampton,38,9,13,16,43,67,-24,40
2021-2022,16,Everton,38,11,6,21,43,66,-23,39
2021-2022,17,Leeds,38,9,11,18,42,79,-37,38
2021-2022,18,Burnley,38,7,14,17,34,53,-19,35
2021-2022,19,Watford,38,6,5,27,34,77,-43,23
2021-2022,20,Norwich,38,5,7,26,23,84,-61,22
2022-2023,1,Man City,38,28,5,5,94,33,61,89
2022-2023,2,Arsenal,38,26,6,6,88,43,45,84
2022-2023,3,Man United,38,23,6,9,58,43,15,75
2022-2023,4,Newcastle,38,19,14,5,68,33,35,71
2022-2023,5,Liverpool,38,19,10,9,75,47,28,67
2022-2023,6,Brighton,38,18,8,12,72,53,19,62
2022-2023,7,Aston Villa,38,18,7,13,51,46,5,61
2022-2023,8,Tottenham,38,18,6,14,70,63,7,60
2022-2023,9,Brentford,38,15,14,9,58,46,12,59
2022-2023,10,Fulham,38,15,7,16,55,53,2,52
2022-2023,11,Crystal Palace,38,11,12,15,40,49,-9,45
2022-2023,12,Chelsea,38,11,11,16,38,47,-9,44
2022-2023,13,Wolves,38,11,8,19,31,58,-27,41
2022-2023,14,West Ham,38,11,7,20,42,55,-13,40
2022-2023,15,Bournemouth,38,11,6,21,37,71,-34,39
2022-2023,16,Nott'm Forest,38,9,11,18,38,68,-30,38
2022-2023,17,Everton,38,8,12,18,34,57,-23,36
2022-2023,18,Leicester,38,9,7,22,51,68,-17,34
2022-2023,19,Leeds,38,7,10,21,48,78,-30,31
2022-2023,20,Southampton,38,6,7,25,36,73,-37,25
2023-2024,1,Man City,38,28,7,3,96,34,62,91
2023-2024,2,Arsenal,38,28,5,5,91,29,62,89
2023-2024,3,Liverpool,38,24,10,4,86,41,45,82
