Season,has_injured,n_team_matches,avg_pts,avg_xpts,avg_injured_players
2019-2020,False,132,1.393939393939394,1.380387423384583,0.0
2019-2020,True,628,1.375796178343949,1.381013264034533,6.805732484076433
2020-2021,False,7,1.1428571428571428,1.145317091978889,0.0
2020-2021,True,753,1.3930942895086322,1.380577882164169,6.701195219123506
2021-2022,False,4,1.0,1.4091739853834995,0.0
2021-2022,True,756,1.3862433862433863,1.3798293867232978,5.767195767195767
2022-2023,False,2,1.5,1.5369771284864897,0.0
2022-2023,True,758,1.3852242744063326,1.3787668687998094,5.829815303430079
2023-2024,False,13,1.3846153846153846,1.2222793836039452,0.0
2023-2024,True,747,1.392235609103079,1.389912595679306,6.838018741633199
