player_id,player_name,team_id,season,n_matches,n_starts,start_rate_all,n_hard,n_hard_starts,start_rate_hard,n_easy,n_easy_starts,start_rate_easy,rotation_elasticity
10004,Romeo Lavia,Chelsea,2024,16.0,11.0,0.6875,8.0,6.0,0.75,3.0,1.0,0.3333333333333333,0.4166666666666667
10004,Romeo Lavia,Southampton,2022,29.0,26.0,0.896551724137931,11.0,11.0,1.0,10.0,9.0,0.9,0.09999999999999998
10012,Jakub Kiwior,Arsenal,2022,14.0,12.0,0.8571428571428571,4.0,3.0,0.75,6.0,5.0,0.8333333333333334,-0.08333333333333337
10012,Jakub Kiwior,Arsenal,2023,20.0,11.0,0.55,4.0,1.0,0.25,8.0,6.0,0.75,-0.5
10012,Jakub Kiwior,Arsenal,2024,17.0,10.0,0.5882352941176471,5.0,3.0,0.6,5.0,3.0,0.6,0.0
10025,Lamare Bogarde,Aston Villa,2024,8.0,5.0,0.625,3.0,1.0,0.3333333333333333,3.0,3.0,1.0,-0.6666666666666667
10027,Lewis Dobbin,Everton,2021,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
10027,Lewis Dobbin,Everton,2023,12.0,1.0,0.08333333333333333,3.0,0.0,0.0,5.0,1.0,0.2,-0.2
10036,Jeremy Sarmiento,Brighton,2021,5.0,1.0,0.2,2.0,1.0,0.5,3.0,0.0,0.0,0.5
10036,Jeremy Sarmiento,Brighton,2022,9.0,1.0,0.1111111111111111,4.0,0.0,0.0,3.0,0.0,0.0,0.0
10041,Yasser Larouci,Sheffield United,2023,11.0,6.0,0.5454545454545454,2.0,1.0,0.5,3.0,1.0,0.3333333333333333,0.16666666666666669
10048,Nicolas Jackson,Chelsea,2023,35.0,31.0,0.8857142857142857,12.0,10.0,0.8333333333333334,12.0,11.0,0.9166666666666666,-0.08333333333333326
10048,Nicolas Jackson,Chelsea,2024,30.0,28.0,0.9333333333333333,9.0,8.0,0.8888888888888888,9.0,8.0,0.8888888888888888,0.0
10050,Micky van de Ven,Tottenham,2023,27.0,27.0,1.0,11.0,11.0,1.0,10.0,10.0,1.0,0.0
10050,Micky van de Ven,Tottenham,2024,13.0,12.0,0.9230769230769231,3.0,3.0,1.0,5.0,5.0,1.0,0.0
10053,Paris Maghoma,Brentford,2024,8.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
1006,Luke Shaw,Man United,2019,24.0,20.0,0.8333333333333334,10.0,9.0,0.9,9.0,7.0,0.7777777777777778,0.12222222222222223
1006,Luke Shaw,Man United,2020,32.0,30.0,0.9375,11.0,11.0,1.0,11.0,9.0,0.8181818181818182,0.18181818181818177
1006,Luke Shaw,Man United,2021,20.0,19.0,0.95,4.0,4.0,1.0,9.0,8.0,0.8888888888888888,0.11111111111111116
1006,Luke Shaw,Man United,2022,31.0,30.0,0.967741935483871,11.0,10.0,0.9090909090909091,10.0,10.0,1.0,-0.09090909090909094
1006,Luke Shaw,Man United,2023,12.0,12.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,0.0
1006,Luke Shaw,Man United,2024,7.0,4.0,0.5714285714285714,4.0,3.0,0.75,3.0,1.0,0.3333333333333333,0.4166666666666667
10072,Samuel Edozie,Southampton,2022,17.0,5.0,0.29411764705882354,2.0,0.0,0.0,7.0,2.0,0.2857142857142857,-0.2857142857142857
10097,Przemyslaw Placheta,Norwich,2021,12.0,6.0,0.5,5.0,2.0,0.4,4.0,2.0,0.5,-0.09999999999999998
101,Allan Saint-Maximin,Newcastle,2019,26.0,23.0,0.8846153846153846,7.0,7.0,1.0,10.0,8.0,0.8,0.19999999999999996
101,Allan Saint-Maximin,Newcastle,2020,25.0,19.0,0.76,8.0,6.0,0.75,9.0,7.0,0.7777777777777778,-0.02777777777777779
101,Allan Saint-Maximin,Newcastle,2021,35.0,31.0,0.8857142857142857,13.0,11.0,0.8461538461538461,13.0,12.0,0.9230769230769231,-0.07692307692307698
101,Allan Saint-Maximin,Newcastle,2022,25.0,12.0,0.48,9.0,6.0,0.6666666666666666,10.0,5.0,0.5,0.16666666666666663
10120,Conor Bradley,Liverpool,2023,11.0,10.0,0.9090909090909091,4.0,4.0,1.0,5.0,4.0,0.8,0.19999999999999996
10120,Conor Bradley,Liverpool,2024,19.0,7.0,0.3684210526315789,7.0,2.0,0.2857142857142857,8.0,3.0,0.375,-0.0892857142857143
10126,James McAtee,Man City,2023,12.0,8.0,0.6666666666666666,5.0,5.0,1.0,5.0,2.0,0.4,0.6
10126,James McAtee,Man City,2024,15.0,3.0,0.2,5.0,1.0,0.2,7.0,1.0,0.14285714285714285,0.05714285714285716
10126,James McAtee,Sheffield United,2023,30.0,20.0,0.6666666666666666,10.0,7.0,0.7,10.0,6.0,0.6,0.09999999999999998
1014,Tyler Roberts,Leeds,2020,27.0,14.0,0.5185185185185185,8.0,6.0,0.75,10.0,3.0,0.3,0.45
