player_name,team_id,season,beta_unavailable,se_unavailable,pvalue_unavailable,n_matches,n_unavail,n_avail,cov_type,n_opp_clusters
Aaron Connolly,Brighton,2019,-0.24573324136868693,0.34531105338542856,0.4766947562683058,38,18,20,cluster,19
Aaron Connolly,Brighton,2020,0.0014791172731914437,0.20475250791968508,0.9942361899082056,36,18,18,cluster,19
Aaron Cresswell,West Ham,2019,-0.050225613457230076,0.2896452827613958,0.8623339820125898,38,23,15,cluster,19
Aaron Cresswell,West Ham,2024,0.17835711573936014,0.47501118135052817,0.7073036472588887,34,2,32,cluster,18
Aaron Hickey,Brentford,2022,-0.020327815284136075,0.2455169135463705,0.9340137597533394,38,29,9,cluster,19
Aaron Hickey,Brentford,2024,0.2592121881667635,0.767511800594142,0.7355662450025777,31,29,2,cluster,18
Aaron Lennon,Burnley,2019,0.07664720705505795,0.3107257359270548,0.8051624057975172,38,14,24,cluster,19
Aaron Mooy,Brighton,2019,0.1264423848354251,0.8864550165308414,0.8865758938228465,38,11,27,cluster,19
Aaron Ramsdale,Arsenal,2024,0.037824937935835426,0.23241442493884779,0.8707170043384903,38,6,32,cluster,19
Aaron Ramsdale,Southampton,2024,0.006037757230533271,0.16934214960926305,0.9715580981391497,38,6,32,cluster,19
Aaron Ramsey,Burnley,2023,0.17698462620513705,0.2943296210072789,0.5476306302273357,38,14,24,cluster,19
Aaron Wan-Bissaka,Man United,2019,0.24397167213625692,0.3091095893074694,0.4299528054133789,38,15,23,cluster,19
Aaron Wan-Bissaka,Man United,2021,-0.08373439127447613,0.1561705756676856,0.5918392343988339,33,5,28,cluster,19
Aaron Wan-Bissaka,Man United,2022,-0.5070731050008294,0.31506299705082524,0.107521472052027,27,3,24,cluster,17
Aaron Wan-Bissaka,Man United,2023,-0.25133642236529147,0.48383436828639986,0.6034344933836864,25,9,16,cluster,17
Aarón Anselmino,Chelsea,2024,-0.38715171862801057,0.46354732398932497,0.40360876073774277,38,28,10,cluster,19
Abdallah Sima,Brighton,2021,0.052719972307690086,0.27933443852064227,0.8503011160265935,38,30,8,cluster,19
Abdallah Sima,Brighton,2023,0.17819796737111246,0.3283856285894045,0.5873718420553877,32,10,22,cluster,19
Abdoulaye Doucouré,Everton,2020,0.14102161928628654,0.2297946051403096,0.5394231657883649,38,11,27,cluster,19
Abdoulaye Doucouré,Everton,2021,-0.021014027040821073,0.3021857403679355,0.944559713556505,35,8,27,cluster,19
Abdoulaye Doucouré,Everton,2023,0.2793764581509939,0.5733589236313059,0.6260721266009507,32,20,12,cluster,19
Abdoulaye Doucouré,Everton,2024,-0.6028088236438447,0.6507291534755479,0.3542594311921443,30,10,20,cluster,18
