player_id,team_id,season,beta_unavailable,se_unavailable,n_matches,n_unavail,n_avail,xpts_per_match_present,xpts_season_total
Adam Wharton,Crystal Palace,2024,-0.08030357835111568,,38,19,19,0.08030357835111568,3.051535977342396
Amadou Onana,Aston Villa,2024,-0.07016749698465516,,38,7,31,0.07016749698465516,2.666364885416896
Andros Townsend,Crystal Palace,2019,0.09753170177362136,,38,23,15,-0.09753170177362136,-3.7062046673976115
Andrés García,Aston Villa,2024,-0.12253907781044135,,38,13,25,0.12253907781044135,4.656484956796771
Anwar El Ghazi,Aston Villa,2019,-0.11531139146432808,,38,4,34,0.11531139146432808,4.381832875644466
Bertrand Traoré,Aston Villa,2020,-0.05689100222748635,,38,8,30,0.05689100222748635,2.1618580846444813
Bertrand Traoré,Aston Villa,2021,-0.15924456365405507,,36,10,26,0.15924456365405507,5.732804291545983
Bertrand Traoré,Aston Villa,2022,0.0232745687124726,,29,5,24,-0.0232745687124726,-0.6749624926617054
Bertrand Traoré,Aston Villa,2023,0.2022308447912895,,23,8,15,-0.2022308447912895,-4.6513094301996585
Boubacar Kamara,Aston Villa,2022,0.03354117882184053,,34,7,27,-0.03354117882184053,-1.140400079942578
Cenk Tosun,Crystal Palace,2019,-0.17734466456353168,,36,2,34,0.17734466456353168,6.3844079242871405
Chris Richards,Crystal Palace,2022,0.17309816523906568,,38,8,30,-0.17309816523906568,-6.577730279084496
Christian Benteke,Crystal Palace,2019,0.15287583702214275,,36,19,17,-0.15287583702214275,-5.503530132797139
Connor Wickham,Crystal Palace,2020,0.18811389686069285,,36,8,28,-0.18811389686069285,-6.7721002869849425
Danny Drinkwater,Aston Villa,2019,0.0005257336436352915,,37,13,24,-0.0005257336436352915,-0.019452144814505783
Dean Henderson,Crystal Palace,2023,0.035331961343825775,,38,10,28,-0.035331961343825775,-1.3426145310653794
Diego Carlos,Aston Villa,2022,0.10377406940827354,,38,25,13,-0.10377406940827354,-3.9434146375143944
Diego Carlos,Aston Villa,2023,0.1314783082406809,,31,11,20,-0.1314783082406809,-4.0758275554611085
Diego Carlos,Aston Villa,2024,-0.2959128304394557,,37,3,34,0.2959128304394557,10.948774726259861
Donyell Malen,Aston Villa,2024,-0.11454734030326977,,38,10,28,0.11454734030326977,4.3527989315242515
Douglas Luiz,Aston Villa,2019,-0.04930787484081099,,38,8,30,0.04930787484081099,1.8736992439508178
Douglas Luiz,Aston Villa,2021,0.026813491337060742,,35,3,32,-0.026813491337060742,-0.938472196797126
Eberechi Eze,Crystal Palace,2020,0.08769967520497768,,34,4,30,-0.08769967520497768,-2.981788956969241
Eberechi Eze,Crystal Palace,2021,-0.15302182907631157,,38,10,28,0.15302182907631157,5.81482950489984
Eberechi Eze,Crystal Palace,2023,0.1737536281762886,,28,3,25,-0.1737536281762886,-4.8651015889360805
Eberechi Eze,Crystal Palace,2024,0.058982542444639824,,30,2,28,-0.058982542444639824,-1.7694762733391947
Emiliano Buendía,Aston Villa,2023,0.21486309390308722,,38,16,22,-0.21486309390308722,-8.164797568317315
Ezri Konsa,Aston Villa,2019,-0.11824317558255402,,37,4,33,0.11824317558255402,4.374997496554499
Ezri Konsa,Aston Villa,2020,0.04591719890336087,,38,3,35,-0.04591719890336087,-1.7448535583277132
Ezri Konsa,Aston Villa,2022,0.06748653192812915,,27,7,20,-0.06748653192812915,-1.8221363620594868
Frédéric Guilbert,Aston Villa,2019,-0.11824317558255402,,37,4,33,0.11824317558255402,4.374997496554499
Frédéric Guilbert,Aston Villa,2020,-0.08188028218397356,,38,7,31,0.08188028218397356,3.111450722990995
Gary Cahill,Crystal Palace,2019,0.26029422355586074,,38,29,9,-0.26029422355586074,-9.891180495122708
Gary Cahill,Crystal Palace,2020,0.10577145555363342,,36,7,29,-0.10577145555363342,-3.807772399930803
Jack Butland,Crystal Palace,2022,0.006644935909866159,,38,14,24,-0.006644935909866159,-0.2525075645749141
Jack Grealish,Aston Villa,2019,-0.03864257634890003,,37,2,35,0.03864257634890003,1.4297753249093013
Jacob Ramsey,Aston Villa,2022,0.10337513548040234,,34,20,14,-0.10337513548040234,-3.514754606333679
Jacob Ramsey,Aston Villa,2023,-0.02596357092477984,,38,15,23,0.02596357092477984,0.9866156951416339
Jacob Ramsey,Aston Villa,2024,0.057538215462578556,,34,7,27,-0.057538215462578556,-1.9562993257276708
Jaden Philogene,Aston Villa,2022,0.07055859732097285,,38,17,21,-0.07055859732097285,-2.6812266981969683
Jaden Philogene,Aston Villa,2023,0.2911325583380497,,34,24,10,-0.2911325583380497,-9.89850698349369
Jaden Philogene,Aston Villa,2024,0.2011791593090519,,34,3,31,-0.2011791593090519,-6.840091416507764
James Chester,Aston Villa,2019,-0.11531139146432808,,38,4,34,0.11531139146432808,4.381832875644466
James McArthur,Crystal Palace,2019,0.1751892156357764,,38,5,33,-0.1751892156357764,-6.6571901941595035
James Tomkins,Crystal Palace,2019,0.24068405837052584,,36,4,32,-0.24068405837052584,-8.66462610133893
James Tomkins,Crystal Palace,2020,0.13618462755773733,,38,9,29,-0.13618462755773733,-5.175015847194018
James Tomkins,Crystal Palace,2021,-0.07553284829395684,,30,14,16,0.07553284829395684,2.2659854488187054
Jaïro Riedewald,Crystal Palace,2020,0.08752242056894309,,38,3,35,-0.08752242056894309,-3.3258519816198375
Jed Steer,Aston Villa,2019,0.060661636897109406,,38,16,22,-0.060661636897109406,-2.3051422020901575
Jed Steer,Aston Villa,2022,0.06519099297867514,,32,13,19,-0.06519099297867514,-2.0861117753176046
Jefferson Lerma,Crystal Palace,2023,0.048569852007914194,,34,4,30,-0.048569852007914194,-1.6513749682690826
Jeffrey Schlupp,Crystal Palace,2019,0.26029422355586074,,38,29,9,-0.26029422355586074,-9.891180495122708
Jeffrey Schlupp,Crystal Palace,2020,-0.027560925133040037,,32,2,30,0.027560925133040037,0.8819496042572812
Jesurun Rak-Sakyi,Crystal Palace,2023,0.07127998418592202,,38,34,4,-0.07127998418592202,-2.708639399065037
Joachim Andersen,Crystal Palace,2021,0.09932300886301998,,38,4,34,-0.09932300886301998,-3.7742743367947593
Joachim Andersen,Crystal Palace,2024,-0.13933372563431873,,30,2,28,0.13933372563431873,4.180011769029562
Joel Ward,Crystal Palace,2019,0.11978060708780226,,38,12,26,-0.11978060708780226,-4.551663069336486
Joel Ward,Crystal Palace,2020,0.11369128844279268,,32,6,26,-0.11369128844279268,-3.6381212301693657
Joel Ward,Crystal Palace,2021,-0.05683107418203106,,34,17,17,0.05683107418203106,1.932256522189056
Joel Ward,Crystal Palace,2023,0.062077116085474615,,26,14,12,-0.062077116085474615,-1.61400501822234
Joel Ward,Crystal Palace,2024,0.013713854845055412,,26,10,16,-0.013713854845055412,-0.3565602259714407
John McGinn,Aston Villa,2019,0.04433394555186794,,38,11,27,-0.04433394555186794,-1.6846899309709817
Keinan Davis,Aston Villa,2019,0.03381292103801847,,37,23,14,-0.03381292103801847,-1.2510780784066835
Keinan Davis,Aston Villa,2020,-0.05734352269437833,,38,11,27,0.05734352269437833,2.179053862386376
Keinan Davis,Aston Villa,2021,-0.019288610602562508,,30,2,28,0.019288610602562508,0.5786583180768753
Kortney Hause,Aston Villa,2019,-0.2284213657000945,,37,10,27,0.2284213657000945,8.451590530903497
Kortney Hause,Aston Villa,2020,-0.05971928022399723,,38,17,21,0.05971928022399723,2.2693326485118948
Kortney Hause,Aston Villa,2021,0.07585763067511199,,33,9,24,-0.07585763067511199,-2.503301812278696
Kortney Hause,Aston Villa,2024,0.22662512816410355,,26,12,14,-0.22662512816410355,-5.892253332266693
Leon Bailey,Aston Villa,2022,0.013783452902349516,,38,12,26,-0.013783452902349516,-0.5237712102892816
Leon Bailey,Aston Villa,2024,-0.44004691924767625,,31,3,28,0.44004691924767625,13.641454496677964
Lovre Kalinic,Aston Villa,2020,-0.023061257364780815,,38,2,36,0.023061257364780815,0.876327779861671
Lucas Digne,Aston Villa,2021,0.06526420589582421,,33,10,23,-0.06526420589582421,-2.153718794562199
Lucas Digne,Aston Villa,2022,0.09801370683384927,,38,10,28,-0.09801370683384927,-3.7245208596862724
Lucas Digne,Aston Villa,2023,-0.02836090489743741,,30,15,15,0.02836090489743741,0.8508271469231222
Ludwig Augustinsson,Aston Villa,2022,0.06104473202335117,,34,12,22,-0.06104473202335117,-2.07552088879394
Mahmoud Trezeguet,Aston Villa,2020,-0.030643822413716867,,38,16,22,0.030643822413716867,1.164465251721241
