Team,n_seasons,total_points_lost,avg_points_lost,total_gbp_lost,avg_gbp_lost
Chelsea,6,32.681887314681134,5.446981219113522,83619870.07757512,13936645.012929186
Brighton,6,32.052114638231906,5.342019106371985,81657618.67305186,13609603.11217531
Liverpool,6,29.98049399201733,4.996748998669555,75545800.20447686,12590966.700746143
Man United,6,29.63246172345328,4.938743620575547,75314947.12382731,12552491.18730455
Arsenal,6,29.69875358413215,4.949792264022025,75264898.74178639,12544149.790297732
Aston Villa,6,25.804106769248747,4.300684461541458,65946668.41227184,10991111.402045308
Tottenham,6,25.588658222042437,4.264776370340406,65516704.88151599,10919450.813585998
Newcastle,6,25.572085256872715,4.262014209478786,64806512.95335661,10801085.4922261
Man City,6,25.34006374449668,4.223343957416113,64381514.75114524,10730252.458524209
Everton,6,23.61647536684616,3.9360792278076926,59461587.47622864,9910264.57937144
