Season,Team,n_matches,avg_injured_players,points_lost_due_to_injuries,gbp_per_point,gbp_lost_due_to_injuries,rank_in_season_by_gbp_lost
2024-2025,Brighton,38,12.394736842105264,7.805866594936519,2706399.2359121297,21125791.38816821,1.0
2024-2025,Chelsea,38,10.552631578947368,6.645759033056357,2706399.2359121297,17986077.169119857,2.0
2024-2025,Brentford,38,10.0,6.2977267644923085,2706399.2359121297,17044162.903405353,3.0
2024-2025,Tottenham,38,9.63157894736842,6.065705252116276,2706399.2359121297,16416220.059595682,4.0
2024-2025,Man City,38,9.552631578947368,6.015986356607126,2706399.2359121297,16281660.878779322,5.0
2024-2025,Arsenal,38,8.68421052631579,5.469078506006478,2706399.2359121297,14801509.889799384,6.0
2024-2025,Wolves,38,8.605263157894736,5.419359610497328,2706399.2359121297,14666950.708983026,7.0
2024-2025,Aston Villa,38,7.105263157894737,4.4747005958234825,2706399.2359121297,12110326.273472223,8.0
2024-2025,Leicester,38,7.105263157894737,4.474700595823482,2706399.2359121297,12110326.273472222,9.0
2024-2025,Ipswich,38,6.5,4.09352239692,2706399.2359121297,11078705.887213478,10.0
